,B01001001 - error,B01001001 - count,B01001002 - error,B01001002 - count,B01001003 - error,B01001003 - count,B01001004 - error,B01001004 - count,B01001005 - error,B01001005 - count,B01001006 - error,B01001006 - count,B01001007 - error,B01001007 - count,B01001008 - error,B01001008 - count,B01001009 - error,B01001009 - count,B01001010 - error,B01001010 - count,B01001011 - error,B01001011 - count,B01001012 - error,B01001012 - count,B01001013 - error,B01001013 - count,B01001014 - error,B01001014 - count,B01001015 - error,B01001015 - count,B01001016 - error,B01001016 - count,B01001017 - error,B01001017 - count,B01001018 - error,B01001018 - count,B01001019 - error,B01001019 - count,B01001020 - error,B01001020 - count,B01001021 - error,B01001021 - count,B01001022 - error,B01001022 - count,B01001023 - error,B01001023 - count,B01001024 - error,B01001024 - count,B01001025 - error,B01001025 - count,B01001026 - error,B01001026 - count,B01001027 - error,B01001027 - count,B01001028 - error,B01001028 - count,B01001029 - error,B01001029 - count,B01001030 - error,B01001030 - count,B01001031 - error,B01001031 - count,B01001032 - error,B01001032 - count,B01001033 - error,B01001033 - count,B01001034 - error,B01001034 - count,B01001035 - error,B01001035 - count,B01001036 - error,B01001036 - count,B01001037 - error,B01001037 - count,B01001038 - error,B01001038 - count,B01001039 - error,B01001039 - count,B01001040 - error,B01001040 - count,B01001041 - error,B01001041 - count,B01001042 - error,B01001042 - count,B01001043 - error,B01001043 - count,B01001044 - error,B01001044 - count,B01001045 - error,B01001045 - count,B01001046 - error,B01001046 - count,B01001047 - error,B01001047 - count,B01001048 - error,B01001048 - count,B01001049 - error,B01001049 - count,B03002001 - error,B03002001 - count,B03002002 - error,B03002002 - count,B03002003 - error,B03002003 - count,B03002004 - error,B03002004 - count,B03002005 - error,B03002005 - count,B03002006 - error,B03002006 - count,B03002007 - error,B03002007 - count,B03002008 - error,B03002008 - count,B03002009 - error,B03002009 - count,B03002010 - error,B03002010 - count,B03002011 - error,B03002011 - count,B03002012 - error,B03002012 - count,B03002013 - error,B03002013 - count,B03002014 - error,B03002014 - count,B03002015 - error,B03002015 - count,B03002016 - error,B03002016 - count,B03002017 - error,B03002017 - count,B03002018 - error,B03002018 - count,B03002019 - error,B03002019 - count,B03002020 - error,B03002020 - count,B03002021 - error,B03002021 - count
170318036052,195.0,982.0,120.0,425.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,34.0,30.0,11.0,0.0,71.0,77.0,11.0,0.0,28.0,18.0,45.0,48.0,22.0,14.0,37.0,41.0,46.0,56.0,40.0,45.0,34.0,30.0,26.0,16.0,28.0,18.0,11.0,0.0,37.0,32.0,11.0,0.0,132.0,557.0,32.0,20.0,65.0,52.0,21.0,12.0,31.0,26.0,11.0,0.0,11.0,0.0,11.0,0.0,22.0,14.0,11.0,0.0,32.0,21.0,11.0,5.0,40.0,39.0,32.0,27.0,31.0,29.0,50.0,65.0,30.0,32.0,39.0,43.0,26.0,17.0,30.0,18.0,26.0,16.0,30.0,19.0,56.0,68.0,38.0,34.0,195.0,982.0,195.0,963.0,185.0,817.0,11.0,0.0,11.0,0.0,133.0,146.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,32.0,19.0,32.0,19.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318047053,345.0,1420.0,198.0,741.0,15.0,9.0,27.0,32.0,42.0,70.0,12.0,7.0,26.0,47.0,11.0,0.0,37.0,55.0,36.0,55.0,12.0,8.0,39.0,58.0,19.0,16.0,13.0,7.0,41.0,58.0,65.0,107.0,37.0,60.0,9.0,6.0,27.0,22.0,11.0,0.0,35.0,34.0,20.0,26.0,26.0,34.0,23.0,30.0,11.0,0.0,169.0,679.0,21.0,19.0,21.0,16.0,41.0,59.0,11.0,0.0,11.0,0.0,26.0,11.0,36.0,53.0,29.0,17.0,22.0,21.0,30.0,39.0,33.0,22.0,20.0,17.0,41.0,61.0,29.0,52.0,31.0,56.0,29.0,30.0,57.0,54.0,11.0,0.0,33.0,44.0,44.0,88.0,10.0,6.0,13.0,8.0,10.0,6.0,345.0,1420.0,314.0,1238.0,142.0,650.0,246.0,368.0,11.0,0.0,118.0,205.0,11.0,0.0,11.0,0.0,27.0,15.0,11.0,0.0,27.0,15.0,188.0,182.0,55.0,64.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,184.0,118.0,11.0,0.0,11.0,0.0,11.0,0.0
170318047061,171.0,1337.0,90.0,639.0,31.0,43.0,34.0,47.0,42.0,41.0,19.0,27.0,11.0,12.0,7.0,5.0,4.0,2.0,30.0,34.0,32.0,64.0,24.0,39.0,18.0,29.0,34.0,44.0,20.0,20.0,21.0,40.0,24.0,48.0,7.0,4.0,19.0,28.0,13.0,14.0,28.0,48.0,11.0,11.0,19.0,28.0,7.0,5.0,8.0,6.0,104.0,698.0,33.0,56.0,16.0,28.0,19.0,28.0,29.0,27.0,15.0,20.0,13.0,9.0,11.0,0.0,24.0,33.0,19.0,28.0,19.0,27.0,24.0,43.0,33.0,39.0,33.0,57.0,15.0,27.0,27.0,79.0,26.0,37.0,17.0,25.0,14.0,16.0,17.0,22.0,45.0,72.0,16.0,15.0,12.0,10.0,11.0,0.0,171.0,1337.0,161.0,1230.0,102.0,953.0,11.0,0.0,11.0,0.0,126.0,258.0,11.0,0.0,11.0,0.0,17.0,19.0,11.0,0.0,17.0,19.0,79.0,107.0,70.0,63.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,37.0,44.0,31.0,31.0,19.0,13.0
170318047062,116.0,1073.0,83.0,557.0,18.0,21.0,19.0,20.0,21.0,38.0,27.0,41.0,11.0,0.0,5.0,3.0,11.0,0.0,35.0,35.0,44.0,56.0,26.0,49.0,17.0,21.0,19.0,36.0,37.0,56.0,27.0,33.0,21.0,44.0,13.0,14.0,12.0,11.0,8.0,4.0,13.0,18.0,19.0,23.0,21.0,18.0,11.0,0.0,15.0,16.0,73.0,516.0,18.0,17.0,19.0,19.0,13.0,17.0,12.0,14.0,9.0,8.0,33.0,20.0,6.0,4.0,9.0,9.0,30.0,61.0,19.0,25.0,11.0,10.0,14.0,23.0,33.0,48.0,42.0,73.0,28.0,25.0,16.0,21.0,15.0,20.0,12.0,22.0,18.0,23.0,8.0,5.0,20.0,13.0,13.0,13.0,27.0,26.0,116.0,1073.0,116.0,886.0,104.0,697.0,24.0,15.0,11.0,0.0,77.0,93.0,11.0,0.0,13.0,13.0,54.0,68.0,53.0,51.0,28.0,17.0,96.0,187.0,31.0,35.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,62.0,111.0,66.0,41.0,66.0,41.0,11.0,0.0
170318047143,238.0,1255.0,126.0,595.0,35.0,27.0,19.0,14.0,50.0,89.0,11.0,0.0,31.0,22.0,11.0,0.0,11.0,0.0,11.0,0.0,109.0,114.0,12.0,8.0,40.0,59.0,36.0,38.0,55.0,74.0,26.0,34.0,34.0,41.0,12.0,16.0,14.0,9.0,14.0,12.0,15.0,18.0,11.0,0.0,15.0,14.0,11.0,0.0,10.0,6.0,159.0,660.0,62.0,72.0,37.0,45.0,16.0,14.0,22.0,23.0,11.0,0.0,11.0,0.0,11.0,0.0,65.0,56.0,11.0,0.0,12.0,7.0,25.0,93.0,30.0,29.0,48.0,47.0,26.0,34.0,25.0,33.0,48.0,41.0,31.0,38.0,34.0,44.0,9.0,6.0,22.0,30.0,19.0,20.0,16.0,14.0,15.0,14.0,238.0,1255.0,253.0,999.0,169.0,789.0,11.0,0.0,22.0,14.0,143.0,110.0,11.0,0.0,11.0,0.0,117.0,86.0,11.0,0.0,117.0,86.0,123.0,256.0,125.0,166.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,124.0,90.0,11.0,0.0,11.0,0.0,11.0,0.0
170318059011,237.0,1395.0,119.0,524.0,20.0,10.0,13.0,7.0,25.0,21.0,30.0,31.0,11.0,0.0,11.0,0.0,20.0,11.0,28.0,24.0,34.0,29.0,51.0,62.0,18.0,13.0,53.0,97.0,22.0,20.0,16.0,15.0,14.0,9.0,47.0,53.0,21.0,15.0,37.0,38.0,11.0,7.0,24.0,39.0,18.0,15.0,11.0,0.0,12.0,8.0,171.0,871.0,66.0,73.0,48.0,65.0,40.0,40.0,22.0,27.0,11.0,0.0,11.0,0.0,27.0,18.0,11.0,0.0,40.0,38.0,13.0,8.0,36.0,43.0,56.0,78.0,22.0,25.0,27.0,37.0,27.0,33.0,36.0,34.0,38.0,35.0,37.0,46.0,47.0,59.0,25.0,29.0,57.0,71.0,29.0,39.0,56.0,73.0,237.0,1395.0,209.0,1292.0,194.0,977.0,7.0,4.0,11.0,0.0,135.0,270.0,11.0,0.0,11.0,0.0,39.0,41.0,11.0,0.0,39.0,41.0,123.0,103.0,123.0,103.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318059013,183.0,992.0,129.0,547.0,37.0,42.0,27.0,18.0,38.0,43.0,21.0,19.0,22.0,23.0,16.0,11.0,29.0,34.0,25.0,24.0,29.0,31.0,24.0,16.0,22.0,20.0,49.0,53.0,21.0,18.0,17.0,15.0,44.0,69.0,15.0,10.0,29.0,37.0,17.0,16.0,18.0,11.0,15.0,9.0,25.0,28.0,11.0,0.0,11.0,0.0,85.0,445.0,11.0,0.0,28.0,27.0,15.0,8.0,21.0,18.0,11.0,0.0,11.0,0.0,11.0,0.0,17.0,12.0,30.0,31.0,35.0,22.0,16.0,14.0,32.0,47.0,43.0,46.0,25.0,30.0,36.0,64.0,15.0,19.0,27.0,30.0,15.0,20.0,25.0,27.0,11.0,0.0,16.0,14.0,11.0,0.0,18.0,16.0,183.0,992.0,180.0,947.0,171.0,868.0,11.0,0.0,11.0,0.0,29.0,25.0,11.0,0.0,11.0,0.0,79.0,54.0,11.0,0.0,79.0,54.0,57.0,45.0,57.0,45.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318059021,209.0,673.0,134.0,352.0,31.0,17.0,29.0,16.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,22.0,15.0,11.0,0.0,11.0,0.0,79.0,100.0,11.0,0.0,47.0,40.0,28.0,16.0,11.0,0.0,15.0,9.0,24.0,23.0,36.0,41.0,11.0,0.0,11.0,0.0,38.0,40.0,11.0,0.0,23.0,14.0,23.0,21.0,124.0,321.0,21.0,13.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,25.0,16.0,24.0,14.0,37.0,32.0,28.0,17.0,27.0,16.0,11.0,0.0,21.0,14.0,15.0,9.0,38.0,42.0,19.0,20.0,11.0,0.0,33.0,28.0,60.0,58.0,11.0,0.0,24.0,20.0,26.0,22.0,209.0,673.0,213.0,666.0,202.0,509.0,11.0,0.0,11.0,0.0,128.0,148.0,11.0,0.0,11.0,0.0,15.0,9.0,11.0,0.0,15.0,9.0,14.0,7.0,14.0,7.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318059022,410.0,1620.0,240.0,762.0,28.0,19.0,44.0,44.0,77.0,87.0,96.0,91.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,82.0,99.0,67.0,55.0,11.0,0.0,73.0,83.0,41.0,43.0,79.0,78.0,11.0,0.0,11.0,0.0,36.0,50.0,20.0,12.0,51.0,35.0,9.0,9.0,11.0,0.0,22.0,24.0,23.0,33.0,236.0,858.0,34.0,30.0,39.0,41.0,45.0,56.0,77.0,63.0,11.0,0.0,60.0,40.0,11.0,0.0,25.0,16.0,95.0,113.0,11.0,0.0,38.0,50.0,71.0,93.0,11.0,0.0,127.0,200.0,19.0,13.0,11.0,0.0,27.0,34.0,11.0,0.0,9.0,4.0,8.0,7.0,9.0,6.0,28.0,25.0,41.0,67.0,410.0,1620.0,402.0,1516.0,387.0,1283.0,4.0,1.0,11.0,0.0,190.0,232.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,149.0,104.0,6.0,3.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,23.0,16.0,126.0,85.0,126.0,85.0,11.0,0.0
170318059023,354.0,987.0,272.0,614.0,87.0,94.0,61.0,54.0,64.0,57.0,11.0,0.0,25.0,16.0,11.0,0.0,28.0,17.0,11.0,0.0,32.0,21.0,66.0,46.0,11.0,0.0,11.0,0.0,40.0,44.0,37.0,37.0,29.0,25.0,22.0,20.0,62.0,62.0,11.0,0.0,11.0,0.0,45.0,29.0,51.0,62.0,11.0,0.0,34.0,30.0,126.0,373.0,27.0,17.0,11.0,0.0,24.0,15.0,35.0,31.0,11.0,0.0,11.0,0.0,11.0,0.0,28.0,18.0,11.0,0.0,11.0,0.0,18.0,12.0,60.0,55.0,41.0,35.0,35.0,29.0,44.0,28.0,11.0,0.0,32.0,33.0,16.0,10.0,34.0,38.0,34.0,22.0,33.0,30.0,11.0,0.0,11.0,0.0,354.0,987.0,242.0,773.0,271.0,669.0,11.0,0.0,11.0,0.0,112.0,104.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,218.0,214.0,218.0,214.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
